NO	Classification	Language	Course Name	Course ID	Training Hours
288	Leadership	English (US)	Establishing Your Leadership Brand	1ea71244-52de-50fd-86e8-fdd21ed7f235	0.67
289	Leadership	English (US)	Facilitation Skills for Managers and Leaders	5355f5b8-e61d-527d-a6a8-c195f7d6ed41	0.72
290	Leadership	English (US)	Finding Your Leadership Purpose with Doug Conant	f265eeeb-f3c3-5525-9eb2-79f6cdf7ad41	0.7
291	Leadership	English (US)	Getting Off the Fence: Inclusive Leadership in Action with Tara Jaye Frank	7513b334-55a7-5f70-b205-968b0f3fa8fe	0.98
292	Leadership	English (US)	Growing Relationships as a Manager	28cd2738-b91d-5737-accf-359b889f93fc	1.18
293	Leadership	English (US)	Head and Heart: The Art of Modern Leadership	b51669be-4525-5cd4-b3ca-6adc2fcb0500	0.22
294	Leadership	English (US)	Holding Yourself Accountable	bc4fb665-4631-5dbf-aaea-6b3d6082f469	0.58
295	Leadership	English (US)	How Beloved Bosses Keep Top Talent	6de53563-ad39-5a44-aae1-192b6312e089	0.25
296	Leadership	English (US)	How to Be a Better Boss	2f84c32b-ebc4-5ac1-b3ef-f4a0905c51a2	3.48
297	Leadership	English (US)	How to Be a Positive Leader (Blinkist Summary)	fa67c9cf-fa2a-5de7-b6da-bd16348e5a24	0.35
298	Leadership	English (US)	How to Build a Culture of Appreciation as a Manager	992befe9-3c3e-5828-84b4-6e1632b4e6ff	0.53
299	Leadership	English (US)	How to Communicate about Difficult Current Events with Your Team	423c885b-ae6d-551e-9acd-2f0b2dc182ce	0.47
300	Leadership	English (US)	How to Master Your Executive Presence	e7e11a70-f6ed-5483-bd49-1c79d290e03f	0.4
301	Leadership	English (US)	How to Network Like a Leader	7f3b67e7-7037-5b89-a0e7-e902b58b2d31	0.6
302	Leadership	English (US)	How to Start Your STEM Career	c8c97c6c-40b4-5c18-8755-7e2dded682d9	1.05
303	Leadership	English (US)	How to Succeed as a Latina in a Global Work Environment	290d7903-a341-58cc-84b5-28f6fc391d70	0.88
304	Leadership	English (US)	How to Win Trust and Connect Masterfully	d99fd535-a0be-5bca-85a3-6680d437f2ee	0.42
305	Leadership	English (US)	HR Leadership in the Metaverse	657e6784-2b90-56b4-8fb7-7fcf8fb60d05	0.8
306	Leadership	English (US)	Human Leadership	4b56a107-c4da-5e4d-9593-a46b06576525	0.58
307	Leadership	English (US)	Human-Centered Leadership	43b91c72-d087-5bb0-b73f-43fd49beb578	0.45
308	Leadership	English (US)	Humble Leadership: The Power of Relationships, Openness, and Trust (getAbstract Summary)	6144d1f9-a7a6-5936-a2f1-43878d035e98	0.22
309	Leadership	English (US)	Ideaflow: The Only Business Metric That Matters (Book Bite)	aa64dee1-85b3-5619-b338-4e0cfb038416	0.18
310	Leadership	English (US)	Ideation for Leaders	651261f4-4904-523e-848b-6122c3b3e298	0.97
311	Leadership	English (US)	Identity Crisis: How to Realign Your Career with Your Life	e361fc84-a877-55cd-a589-90481497a65d	1.1
312	Leadership	English (US)	Improving Your Leadership Communications	64089d70-b3b8-5711-b0ed-01f8448b6e2b	1.17
313	Leadership	English (US)	Inclusive Leadership	503a856a-f6a7-5bc9-8164-800236bc80fe	0.92
314	Leadership	English (US)	Individual Accountability for Equity and Inclusion	04dad0f4-30ba-5a0e-a005-4910ff0e8e0c	0.98
315	Leadership	English (US)	Influence Skills for Leaders and Managers	4c6664fa-81f9-5bdb-8018-bfcfee3cc7ed	0.97
316	Leadership	English (US)	Just Ask: Todd Dewett on Management and Leadership	5f959094-c72a-50bc-b7e2-730df169a5fa	1.25
317	Leadership	English (US)	Ken Blanchard on Servant Leadership	ea2658e8-cf35-56e6-9639-6e84bd39d7a7	0.45
318	Leadership	English (US)	Key Mental Shifts for Servant Leadership	b922a161-c029-5d2e-bb61-273885327b5c	0.43
319	Leadership	English (US)	Leadership Communication in the Flow of Work	a57d8e2d-4dea-52b1-8bc8-87bffe6cc08a	0.87
320	Leadership	English (US)	Leadership Ethics	c78e5299-a20f-5f72-99b1-7e4915b85f6c	1.02
321	Leadership	English (US)	Leadership Foundations	2a0df70e-ef5b-5851-be25-5e52cb31ae5d	1.83
322	Leadership	English (US)	Leadership Foundations: Leadership Styles and Models	9aece4ff-1c8f-5933-a347-07caee46ff2b	0.73
323	Leadership	English (US)	Leadership Mindsets	30569e43-4288-5bf5-b7e7-7510255e3913	0.57
324	Leadership	English (US)	Leadership Presence in Action	9b576714-eb67-5c9e-9314-2a8cf759f90b	0.47
325	Leadership	English (US)	Leadership Principles for Emerging Leaders with Bill George	1eea380a-dd49-588a-a6d8-4dcf84bd063d	0.67
326	Leadership	English (US)	Leadership Stories: 5-Minute Lessons in Leading People	347a68d6-565c-5f31-9332-deff5861b71a	3.12
327	Leadership	English (US)	Leadership Strategies for Women	93bfabee-462a-50c7-beba-d272bf664179	1.1
328	Leadership	English (US)	Leadership through Learning: Teaching Your Team How to Grow with Whitney Johnson	955bda54-3edd-5fd5-b842-e9a4dfe2b5df	0.92
329	Leadership	English (US)	Leadership Tips, Tactics, and Advice	b7274a32-b8f5-5b66-ac1d-0b54659936b3	0.92
330	Leadership	English (US)	Leadership Upskilling in a Zoom Economy	4f702ab0-a788-5633-aba1-f76c7d0b6962	0.45
331	Leadership	English (US)	Leading at a Distance	8e957aeb-709d-52f3-94d5-3c9d5f93542a	0.88
332	Leadership	English (US)	Leading Diverse Teams to Success	1fcc8ebe-6941-58cd-988b-af8c2d0384e3	0.75
333	Leadership	English (US)	Leading through Challenges: Strategies for Executive Leaders	170772f7-d011-5983-ab3e-c239409b90aa	0.88
334	Leadership	English (US)	Learning Data Science: Manage Your Team	5090b1a9-9f01-5f8d-9f36-f1f07d70f7df	1.23
335	Leadership	English (US)	Learning to Be Approachable	9468402b-994b-5c14-a129-1c244490b926	0.47
336	Leadership	English (US)	Lessons in Enlightened Leadership	e662a461-bec7-503b-b64d-1043ee4459fa	0.93
337	Leadership	English (US)	Leveraging Authenticity in the Workplace	f8976c1e-fac7-52b4-ac5a-7cd9316aa8d4	0.38
338	Leadership	English (US)	Leveraging Your Strengths	527e0595-d456-5b60-bfea-25fba486037f	1.17
339	Leadership	English (US)	Management Foundations	a787369e-2f79-5e00-bde6-4d13ad7f496e	0.77
340	Leadership	English (US)	Management Tips	05ed4e38-edf5-552a-bd8d-95c8a709f610	7.78
341	Leadership	English (US)	Management: Top Tips	802d3958-e0c4-5242-af85-4d279544f95a	2.07
342	Leadership	English (US)	Managing Up	a8d68b9b-9602-5691-ad88-6986a7f6e927	1.05
343	Leadership	English (US)	Managing Your Manager	c1f7f836-718c-56bb-8abe-dc3f61b831d4	1.52
344	Leadership	English (US)	Managing Your Well-Being as a Leader	cfc4351f-8d50-50f2-9734-dd57d6386c4f	0.68
345	Leadership	English (US)	Mastering the Eight Paradoxes of Effective Leaders	dda3b922-97b2-567c-b3ab-ced8ca4c4056	0.45
346	Leadership	English (US)	Measure What Matters: Succeeding with Objectives and Key Results (OKRs)	249e64d6-148c-5178-ba5d-fbd00078bdc0	2.47
347	Leadership	English (US)	Mindful Leadership	90957b70-8f4f-5a58-83d0-13bd01665229	0.57
348	Leadership	English (US)	Mixed Signals: How Incentives Really Work (Book Bite)	6b5c3861-b62a-5164-8789-518947f2796c	0.2
349	Leadership	English (US)	Nano Tips for Avoiding Leadership Missteps With Ashley Herd	25755b27-e786-5022-bbcd-3b07b74c5fe3	0.15
350	Leadership	English (US)	Nano Tips for Becoming a Better Thought Leader with Peter Winick	0cbb4c43-ef3b-5840-b9b4-4b86f9defa05	0.25
351	Leadership	English (US)	Nano Tips for Bringing Thought Leadership to Market with Peter Winick	5e36beb1-b879-566e-bbd5-67537206416f	0.22
352	Leadership	English (US)	Nano Tips for Building Your Leadership Brand with India Martin	98096bff-da81-5ca4-83a3-e2fe2809ee7c	0.2
353	Leadership	English (US)	Nano Tips for Effective Listening for Leaders with India Martin	e71cce40-b22c-53a6-911c-07734c7e6769	0.12
354	Leadership	English (US)	Nano Tips for Inclusive Leadership with India Martin	fd0fc43d-7f61-5a94-a9ae-81929dfe95a0	0.2
355	Leadership	English (US)	Nano Tips for Leading with Influence with Kim Kaupe	d9470f38-5e39-54bf-a9a2-a71b165c7f82	0.13
356	Leadership	English (US)	Nano Tips for Managing Up with Lorraine Lee	6fa4b9db-5241-500a-b188-5e29deb4a4d6	0.1
357	Leadership	English (US)	Nano Tips to Accelerate Your Goals with Shadé Zahrai	0377fd5c-c527-5bc5-b4b4-0f02a635499d	0.12
358	Leadership	English (US)	Navigating Politics as a Senior Leader	1ebb9f88-4479-5f32-bfa3-97c691647ecb	0.52
359	Leadership	English (US)	Organizational Thought Leadership	a43720b8-3973-563b-904a-07d3f2bc6c01	1.45
360	Leadership	English (US)	Overcoming DEI Leadership Challenges	e2436f75-98b2-570e-9eac-55ea9caf60e0	0.78
361	Leadership	English (US)	Overcoming Imposter Syndrome as a New Executive	b49cc58e-9f64-5d59-be42-6be52baf3cbc	0.68
362	Leadership	English (US)	Overcoming Obstacles to Leading with Confidence	e688165f-0f4a-5db4-b216-c30ba50eae43	1.18
363	Leadership	English (US)	Overcoming Procrastination	6a82ee53-8fec-5af7-811b-6ca22a200fdb	0.4
364	Leadership	English (US)	Own It: The Power of Women at Work	11944180-1a01-52e7-a1fc-ecaec68c90c4	0.65
365	Leadership	English (US)	Performance Improvement Plans: A Leader's Guide to Turning Things Around	30b5ea85-9776-54a1-ae28-d8e7cd423ca7	1.15
366	Leadership	English (US)	Pivoting Your Career to User Experience	be49f86e-e5bc-569b-8444-d72b5669170b	0.62
367	Leadership	English (US)	Rise and Shine: Create a Powerful Morning Routine (Book Bite)	71b7e0c8-6436-5354-97aa-28e183dbeba2	0.22
368	Leadership	English (US)	Running Effective Design Critiques	b0a4f90e-0602-5646-8788-06f8602a3a8c	0.88
369	Leadership	English (US)	Ryan Holmes on Social Leadership	75c5f639-38c0-58ce-a5ee-795cf102f1a6	0.25
370	Leadership	English (US)	Science-Based Habits for Modern Leadership	f1b401e7-00a0-51dd-a602-2043d735dc22	1.08
371	Leadership	English (US)	Setting a Vision: How to Gain Clarity on Your Goals	9fa7800c-70b4-5c31-b269-db1296366b2a	0.75
372	Leadership	English (US)	Skills and Competencies for Leading Today's DEI Workforce	38be58c6-cf1c-5ad6-a7ef-2fd548c57b65	1.27
373	Leadership	English (US)	Social Media for Leadership	a2675c6d-cb30-5f9f-bd82-0e96947e189c	0.93
374	Leadership	English (US)	Staying Positive in the Face of Negativity	d200642a-59ee-574a-a2e6-9a6e30e1b977	0.93
375	Leadership	English (US)	Strategic B2B Networking for Driving Sales	b99d4717-480d-59cc-a5a9-e3708c0dcd42	0.75
376	Leadership	English (US)	Strategic Focus for Managers	f7361a30-cf58-504d-a1f6-904700eb7c5d	0.52
377	Leadership	English (US)	Succeeding with an Ownership Mindset	659e576b-be6f-5f5b-b9b4-d1e430b9f424	0.83
378	Leadership	English (US)	Success Strategies for Women in the Workplace	990be4b8-8719-517c-b942-247101ea7e0f	0.87
379	Leadership	English (US)	Supporting Indigenous Rights	57adff20-780d-5aad-b7c2-533dbb1a0350	0.55
380	Leadership	English (US)	The Best Leadership Lessons from the Worst Bosses	6f44090c-42a4-549f-8aa7-603e0cadb6ba	0.95
381	Leadership	English (US)	The Crucial Perspectives of Effective Leaders	f94d57f4-d2fd-528d-b860-69c86e77a4df	0.37
382	Leadership	English (US)	The Foundational Principle Separating Good Leaders from Bad Ones	27967334-5c8d-5823-a875-24d92bc6a6a8	0.32
383	Leadership	English (US)	The Leader Habit (Blinkist Summary)	c69a7c22-9372-5179-a562-cbfbe3a442e9	0.32
384	Leadership	English (US)	The Master Key to Overcoming Procrastination	93a5ef07-23fb-54e0-8c97-d6d8833bbc2c	0.4
385	Leadership	English (US)	The Neuroscience of Office Politics and Team Leadership	aebd3017-ad96-5024-99da-0b794fe24ee0	0.22
386	Leadership	English (US)	The Neuroscience of Strategy and Creative Leadership	19704a13-76fa-574c-9462-bc7ac888726d	0.13
387	Leadership	English (US)	The Perennials: Creating a Postgenerational Workplace (Book Bite)	30a3ab3b-f50b-546e-8456-970ae5b7f2cd	0.13
388	Leadership	English (US)	The Shift Toward a Skills-First Mindset: A Thought-Leader Roundtable	e229d9f8-e8d6-591b-9c25-7f13e2d3313c	0.93
389	Leadership	English (US)	The Spectrum of Gender Identity in the Workplace	a230f540-ee7f-5d27-a18e-9226993e762a	0.93
390	Leadership	English (US)	The Step-by-Step Guide to Rock Your Job Interview	d57085c6-063b-5f01-a713-309810787094	0.67
391	Leadership	English (US)	Tips for More Inclusive Language	0bfc47e3-3f02-51ff-a253-895cbca4aa94	0.17
392	Leadership	English (US)	Top 10 Rules for Highly Effective Leadership	985a9e8b-fb0c-5214-99a1-7fc75e82758e	0.6
393	Leadership	English (US)	Transform Your Business through Sustainability and Climate Leadership	73befc7c-c971-5ccb-a1fe-4ec6cb17dd5f	1.48
394	Leadership	English (US)	Turning Pressure into Power	4540ac0d-c083-53a4-a071-0534e99ad55d	0.55
395	Leadership	English (US)	Turning Weaknesses into Strengths	505906c9-1c9b-52d6-a561-537cfbf0a23e	0.48
396	Leadership	English (US)	Understanding the Leadership Behaviors That Can Sabotage Your Success	16d7574f-97cd-53ad-b7ef-d2e2f6d20fdc	0.78
397	Leadership	English (US)	Visualizing Your Leadership Journey	91782f39-17c9-5214-8ba0-914a52e2aaf2	0.53
398	Leadership	English (US)	Wellbeing as a Habit: Tips and Best Practices	926dcf7f-2ba6-5d2b-a61a-14d04fbdd07b	1.25
399	Leadership	English (US)	Women Transforming Tech: Breaking Bias	69ccf27e-289e-570e-addc-d9bd846d59e5	0.37
400	Leadership	English (US)	Women Transforming Tech: Building Your Brand	141b1e98-3651-55f5-b41c-ab7abc8fa67a	0.23
401	Leadership	English (US)	Women Transforming Tech: Career Insights	21faa9a9-a17f-524e-ba77-a9e2be6f2d20	0.18
402	Leadership	English (US)	Women Transforming Tech: Finding Sponsors	111a4989-4d56-522d-8aef-e1da0a2d46a4	0.22
403	Leadership	English (US)	Women Transforming Tech: Getting Strategic with Your Career	13f73d62-40e0-5efc-88f5-c36f2cd17fa1	0.27
404	Leadership	English (US)	Women Transforming Tech: Networking	3cd88f39-30f0-57bd-ba33-829e877c4aa2	0.32
405	Leadership	English (US)	Women Transforming Tech: Tips for Career Success	b0741d98-5744-5060-8788-4fb03a230615	0.37
406	Leadership	English (US)	Women Transforming Tech: Voices from the Field	7d84ffc4-d97c-5e40-9d6b-651c6a473acd	0.42
407	Leadership	English (US)	A Sales Trainer's Tips for Coaching a Sales Team	b57ad33e-4118-53d6-b985-53af92631863	0.92
408	Leadership	English (US)	Become a Better Coach for Your Team	b89181eb-9f95-584f-8fbb-f628d0dffc41	0.9
409	Leadership	English (US)	Becoming an Agile Coach	a23cda22-aa89-591e-9c1d-47aab60c4a50	0.77
410	Leadership	English (US)	Becoming an Inspiring Mentor	468c6157-ae23-54ad-8367-efe050a2490f	0.78
411	Leadership	English (US)	Coaching and Developing Employees	10992c30-b239-58cc-ba6e-4286c6e576bc	1.15
412	Leadership	English (US)	Coaching Employees through Difficult Situations	0fc228d9-2272-57b3-b1a0-c3e77315b0b1	0.78
413	Leadership	English (US)	Coaching for Continuous Improvement	3aa76a0d-a168-5cc5-a129-02b9e27d192f	0.73
414	Leadership	English (US)	Coaching for Results	a1d3b76f-7710-5842-8f4c-7e441b098338	0.98
415	Leadership	English (US)	Coaching in Action for Leaders and Managers	128e9219-b6b3-5271-9768-39e2eab6596c	0.57
416	Leadership	English (US)	Coaching New Hires	4a89dfe1-2aa8-5d23-a882-e7e43d90ec90	0.47
417	Leadership	English (US)	Coaching New Managers	c1a3d7ee-8fde-5cb7-bb50-1628018eb98d	0.5
418	Leadership	English (US)	Coaching Skills for Leaders and Managers	fdc4abe8-cd32-51dc-97b4-01ffccb13030	0.57
419	Leadership	English (US)	Coaching Virtually	af4184ca-09cd-5507-af3f-f32da5b2d588	0.5
420	Leadership	English (US)	Coaching Your Team in a Dynamic Workplace	a3e6fe26-f53c-59d0-9857-9677b9d6f6bd	0.65
421	Leadership	English (US)	Coaching Your Team to Think and Act Strategically	23b059f6-2258-5caf-930c-fe088779f97b	0.92
422	Leadership	English (US)	Coaching Yourself and Your Team from Uncertainty to Action	8222b074-f230-5cb8-9d29-1a14bf142214	0.52
423	Leadership	English (US)	Executive Coaching	ac9672e6-a15b-56ae-9aa4-a4024f86b63e	0.95
424	Leadership	English (US)	Former Fortune 250 CEO Deanna Mulligan (Thirty Minute Mentors)	4efe9ee2-c332-5ee1-86d5-f5d34fb00fd7	0.58
425	Leadership	English (US)	Giving and Receiving Feedback	b7604a79-6bfc-53b8-96c8-47b486a61d48	0.47
426	Leadership	English (US)	How to Build a Secret Circle of Mentors	f140759d-dea2-5e37-8540-2e5425ab503c	0.13
427	Leadership	English (US)	Leading In Every Direction	2050fe63-3fd1-5114-9086-972c2d423bd2	0.72
428	Leadership	English (US)	Making the Move to Middle Management	a4b00155-420d-511d-abd9-f430efd8723b	0.7
429	Leadership	English (US)	Nano Tips for Giving and Receiving Feedback with Lorraine Lee	744b1cb9-4198-54a7-9b18-81b3fdf104e3	0.18
430	Leadership	English (US)	Peer Coaching for Leaders, Managers and Teams	ec228a20-8f6c-567c-8ce5-f1cfc05b4b16	0.65
431	Leadership	English (US)	Sales Leadership: Building a Thriving Coaching Culture	aa2e292f-4d11-5a56-b525-9cdf175ad98c	1.17
432	Leadership	English (US)	Taking the Fear out of Feedback	d0de9270-e050-5771-ad9f-4f624f3bd36e	0.67
433	Leadership	English (US)	The Changing Role of the CEO	bf191811-a73f-5902-aef5-0f12e67e91df	0.7
434	Leadership	English (US)	The Coaching Habit (getAbstract Summary)	660827b2-91ef-52e5-8604-1cb59c96fd7a	0.13
435	Leadership	English (US)	Working with an Executive Coach	f863f854-de66-5207-8682-93a8c02471dc	0.63
436	Leadership	English (US)	20 Questions to Improve Learning at Your Organization	8f086c15-48eb-5050-906a-df550d4bd5ce	1.12
437	Leadership	English (US)	360-Degree Feedback	f487ad47-45a5-58b4-9fec-0f9070f31644	0.52
438	Leadership	English (US)	Asking for Feedback as an Employee	ae95917f-8834-5651-ae11-abee125b4c4c	0.35
439	Leadership	English (US)	Being a Good Mentor	147af42e-cbc0-5c8f-a84f-2540bddf1ad0	1
440	Leadership	English (US)	Creating the Conditions for Others to Thrive	57c366e3-dd1f-54fa-9ade-9bc45b0d0a12	0.5
441	Leadership	English (US)	Delivering Employee Feedback	3addff8e-b487-51a3-be62-10112577a139	0.45
442	Leadership	English (US)	Developing a Mentoring Program	79501537-cf80-5ec9-be74-f2630be9e318	1.08
443	Leadership	English (US)	Developing Adaptable Employees	7545110a-cc99-5a5a-8d17-9cef7d82ef70	0.85
444	Leadership	English (US)	Developing Adaptable Managers	910f2f4c-7a2c-573a-baef-09cebfc1a4da	0.73
445	Leadership	English (US)	Developing Your Team Members	4c71a33e-b501-5fa9-b104-b1c19365f8db	0.87
446	Leadership	English (US)	Empowering BIPOC through Mentorship	e138553a-ed17-5101-814d-7bb76602ae50	1.17
447	Leadership	English (US)	Facilitating Safe, Authentic Communication as a Leader	7c7a50ce-66ba-511d-bea0-15893e1e461e	0.8
448	Leadership	English (US)	Finding and Retaining High Potentials	1fdb5fb5-11a2-5e81-bd06-deeb728d08b8	0.7
449	Leadership	English (US)	Hire, Retain, and Grow Top Millennial Talent	13158211-36ae-5139-9bae-7d38f8682926	0.8
450	Leadership	English (US)	How to Be a Good Mentee and Mentor	2454d2d5-78de-5068-8542-fbd4e666b07f	0.45
451	Leadership	English (US)	How to Handle Poor Performers	a8c6afb4-1ca7-5a0a-ae18-9378f2ff63b3	0.82
452	Leadership	English (US)	HR Reps: Here's How to Invest in Your Employees	09d87e9c-f616-5429-afda-fb56f03bd35a	0.65
453	Leadership	English (US)	Identify and Unleash Potential in Your Employees	1038cd16-83a9-5e57-a6d6-68fea48bc5ef	0.88
454	Leadership	English (US)	Leadership through Feedback	93e664a7-408e-510b-b69a-a8bb7d71187b	1.35
455	Leadership	English (US)	Leading and Managing Successful UX Teams	4cf25eaf-0233-5a5d-8896-6734f40fe905	0.65
456	Leadership	English (US)	Leveraging Organizational Power Dynamics as a Leader	8d8c67d6-b364-510e-b7e0-d2e28afbf3c5	0.97
457	Leadership	English (US)	Managing High Performers	5094c152-3f3d-5bdf-b04d-4b6b0793d118	0.27
458	Leadership	English (US)	Managing High Potentials	b8e189ff-97b1-52ad-9fc5-88f9e8e07afb	0.28
459	Leadership	English (US)	Managing Introverts	e85863de-12d3-5504-a8c9-926c4485da90	0.45
460	Leadership	English (US)	Managing New Managers	4f89d3af-b194-56b6-88d6-743e11a215ce	0.33
461	Leadership	English (US)	Managing Up as an Employee	053ac1dc-b7b1-5b2b-a680-08b1caa19dea	0.82
462	Leadership	English (US)	Mentorship, Sponsorship, and Lifting Others as You Climb	27f8a53f-429d-5640-9024-4a67c6d4765f	0.35
463	Leadership	English (US)	Radical Candor (Blinkist Summary)	bc34c242-118b-56db-bae8-c6379999f259	0.28
464	Leadership	English (US)	Sanyin Siang on Strategic Mentoring	f8e73caa-4758-56af-a328-fa24f5c764d3	0.15
465	Leadership	English (US)	Talent Management	9698ff6f-d9ad-50e0-9e87-12ae0eb0148e	0.65
466	Leadership	English (US)	Technical Recruiting	fccca912-2b0f-5e28-b069-104f92c11ec1	1.08
467	Leadership	English (US)	The Courage Habit (getAbstract Summary)	53a01423-01a6-5809-a07c-011d5fc87dd3	0.22
468	Leadership	English (US)	The Future of Work: The Necessary Skills of Your Future Workforce	0db70068-982c-5213-9ef1-90ac49b72e01	0.87
469	Leadership	English (US)	The Purpose Effect (getAbstract Summary)	5bae16b3-4cc4-5e87-8430-44b011494dd1	0.12
470	Leadership	English (US)	Using Feedback to Drive Performance	a53e3c68-e6dc-5814-9e9e-693704953127	1.25
471	Leadership	English (US)	10 Mistakes Leaders Should Avoid	44f80a30-fcdf-5540-bd9a-6ce51e73a5cf	0.63
472	Leadership	English (US)	21 Opportunities for Better Networking	ebdd2a4d-2c84-5afc-b6e4-57f625c99090	0.32
