Cost Center	Subject	Training Type	Course Code	Training Title	Session ID	Facility	Training Attendee Status	Registration Date	Transcript Assigned Date	Training Due Date	Part Name	Part Start Time	Part End Time	Part Time Zone	Completion Date	Last Transcript Status Change Date	Time in Training	Training Hours	Credit Hours	Provider	Version Number
	 [Marketing], [Marketing] Product marketing, Expertise	Online Class		Product Innovation for Product Managers			Completed	6/4/2025 15:35	6/4/2025 15:35						6/4/2025 17:51	6/4/2025 17:51	0	1.15	0	(LinkedIn Learning) ???? ??	
		Online Class		Samsung Brand Strategy			Completed	4/7/2025 9:52	4/7/2025 9:52						4/7/2025 10:07	4/7/2025 10:07	14	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			Completed	2/1/2025 21:06	2/1/2025 21:06						5/26/2025 10:50	5/26/2025 10:50	0	4	0	(SEU) S/W School	1
	 [Functional Competency], [Functional Competency] Machine Learning, Expertise	Online Content		DP-100: A-Z Machine Learning using Azure Machine Learning			In Progress	5/5/2025 12:13	5/5/2025 12:13							5/5/2025 12:13	2	26.65	0	(Udemy) ???	
	 [Functional Competency], [Functional Competency] Machine Learning, Expertise	Online Class		Machine Learning and AI Foundations: Producing Explainable AI (XAI) and Interpretable Machine Learning Solutions			In Progress	5/5/2025 12:09	5/5/2025 12:09							5/5/2025 12:09	0	2.15	0	(LinkedIn Learning) ???? ??	
	 [Functional Competency], [Functional Competency] Machine Learning, [Software Tools], [Software Tools] Python, Expertise	Online Class		Machine Learning with Python: Foundations			In Progress	5/5/2025 12:16	5/5/2025 12:16							5/5/2025 12:16	0	1.9	0	(LinkedIn Learning) ???? ??	
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 6:47	4/8/2025 6:47						4/22/2025 13:11	4/22/2025 13:11	31	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/1/2025 22:37	2/1/2025 22:37							2/1/2025 22:37	0	4	0	(SEU) S/W School	1
	 Expertise	Event		Business Trainings_SRID			Completed		6/9/2025 17:28						2/13/2025 17:00	6/9/2025 17:28	0	0	0	[SRI-Delhi]HR	
	 Expertise	Session		Business Trainings_SRID		SRI-D, Plot 2A ,Sec-126 Noida-201303, India	Completed	5/13/2025 12:26	5/13/2025 12:26		CPT_Trainings_Q1_2025	2/12/2025 14:00	2/12/2025 15:30	IST	2/12/2025 15:30	5/13/2025 12:26	90	1.5	0	[SRI-Delhi]HR	1
	 Expertise	Session		Business Trainings_SRID		SRI-D, Plot 2A ,Sec-126 Noida-201303, India	Completed	6/9/2025 17:28	6/9/2025 17:28		TLC_13 FEB 2025	2/13/2025 15:00	2/13/2025 17:00	IST	2/13/2025 17:00	6/9/2025 17:28	120	2	0	[SRI-Delhi]HR	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 7:05	4/8/2025 7:05						4/15/2025 14:21	4/15/2025 14:21	19	0.25	0	(SEU) Sales&Marketing School	1
	 [Software Tools], [Software Tools] AWS, Expertise	Online Content		Ultimate AWS Certified Solutions Architect Associate 2025			In Progress	4/18/2025 11:32									103	27.5	0	(Udemy) ???	
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/1/2025 21:53	2/1/2025 21:53							2/1/2025 21:53	0	4	0	(SEU) S/W School	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 6:56	4/8/2025 6:56						5/30/2025 16:20	5/30/2025 16:20	17	0.25	0	(SEU) Sales&Marketing School	1
		Online Class		[SIELS] 2024 Understanding of Compliance And Data Protection			In Progress	4/21/2025 12:43	4/21/2025 12:43							4/21/2025 12:43	24	0.43	0	[SIEL-S]Legal & Compliance	1
	 [Language], Core	Online Class		[??] ??? AI ?? Speak (No:2025-1)			Completed	1/1/2025 9:30	1/1/2025 9:30						1/31/2025 17:30	1/31/2025 17:30	0	2	1	Samsung CIC	
	 [Language], Core	Online Class		[??] ??? AI ?? Speak (No:2025-1)			Completed	3/1/2025 9:30	3/1/2025 9:30						3/31/2025 16:30	3/31/2025 16:30	0	2	1	Samsung CIC	
	 [Language], Core	Online Class		[??] ??? AI ?? Speak (No:2025-1)			Completed	4/1/2025 8:30	4/1/2025 8:30						4/30/2025 16:30	4/30/2025 16:30	0	2	1	Samsung CIC	
		Online Class		Samsung Brand Strategy			Completed	5/29/2025 11:14	5/29/2025 11:14						5/30/2025 11:05	5/30/2025 11:05	24	0.25	0	(SEU) Sales&Marketing School	1
	 [Leadership Competency], [Leadership] Engagement, Leadership	Online Class		??? ?? ????? ?? ????			Completed	4/6/2025 21:13	4/6/2025 21:13						4/6/2025 21:13	4/6/2025 21:13	0	0.37	0	(LinkedIn Learning) ???? ??	
	 [Leadership Competency], [Leadership] Self-management, Leadership	Online Class		??? ?? ????			Completed	4/6/2025 21:46	4/6/2025 21:46						4/6/2025 21:46	4/6/2025 21:46	0	0.4	0	(LinkedIn Learning) ???? ??	
	 [Language], [Language] English Speaking, Core	Online Class		???? ?? ???? ?? ?? ??			Completed	1/28/2025 21:46	1/28/2025 21:46						1/28/2025 21:46	1/28/2025 21:46	0	0.92	0	(LinkedIn Learning) ???? ??	
	 [Leadership Competency], [Leadership] Engagement, Leadership	Online Class		???? ??? ?? ??? ??			Completed	2/21/2025 20:28	2/21/2025 20:28						2/21/2025 20:27	2/21/2025 20:28	0	0.47	0	(LinkedIn Learning) ???? ??	
	 [Functional Competency], [Functional Competency] Task management, Expertise	Online Class		??? ?? 1? ??			Completed	5/28/2025 21:39	5/28/2025 21:39						5/28/2025 21:39	5/28/2025 21:39	0	0.67	0	(LinkedIn Learning) ???? ??	
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/1/2025 23:16	2/1/2025 23:16							2/1/2025 23:16	0	4	0	(SEU) S/W School	1
		Online Class		Samsung Brand Strategy			Completed	3/26/2025 7:21	3/26/2025 7:21						5/28/2025 15:52	5/28/2025 15:52	17	0.25	0	(SEU) Sales&Marketing School	1
	 [Marketing], [Sales], Core, Expertise	Curriculum		Samsung Essential for Marketing ? Sales			In Progress	4/3/2025 15:03	4/3/2025 15:03							4/3/2025 15:03	0	5	0	(SEU) Sales&Marketing School	5
	 [Marketing], [Sales], Expertise	Online Class		TIM overview			Registered	3/13/2025 14:36	3/13/2025 14:36							3/13/2025 14:36	0	0.08	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			Completed	2/1/2025 23:16	2/1/2025 23:16						4/23/2025 17:22	4/23/2025 17:22	0	4	0	(SEU) S/W School	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 7:14	4/8/2025 7:14						4/15/2025 11:02	4/15/2025 11:02	24	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/1/2025 23:48	2/1/2025 23:48							2/1/2025 23:48	0	4	0	(SEU) S/W School	1
	 [Functional Competency], [Functional Competency] Database Management, Expertise	Online Content		LangChain- Develop LLM powered applications with LangChain			In Progress	1/31/2025 15:25	1/31/2025 15:25							1/31/2025 15:25	11	11.77	0	(Udemy) ???	
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 7:22	4/8/2025 7:22						5/30/2025 15:56	5/30/2025 15:56	88	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/2/2025 0:04	2/2/2025 0:04							2/2/2025 0:04	0	4	0	(SEU) S/W School	1
	 [Functional Competency], [Functional Competency] Database Management, Expertise	Online Class		Reinforcement Learning Foundations			Completed	5/23/2025 9:58	5/23/2025 9:58						5/23/2025 11:47	5/23/2025 11:47	0	0.73	0	(LinkedIn Learning) ???? ??	
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 7:27	4/8/2025 7:27						4/22/2025 9:37	4/22/2025 9:37	26	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			Completed	2/1/2025 23:16	2/1/2025 23:16						4/4/2025 12:29	4/4/2025 12:29	0	4	0	(SEU) S/W School	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 7:14	4/8/2025 7:14						5/15/2025 11:17	5/15/2025 11:17	14	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/1/2025 22:00	2/1/2025 22:00							2/1/2025 22:00	0	4	0	(SEU) S/W School	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 6:58	4/8/2025 6:58						5/27/2025 12:56	5/27/2025 12:56	45	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/1/2025 23:16	2/1/2025 23:16							2/1/2025 23:16	0	4	0	(SEU) S/W School	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 7:14	4/8/2025 7:14						5/15/2025 8:27	5/15/2025 8:27	14	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/1/2025 23:10	2/1/2025 23:10							2/1/2025 23:10	0	4	0	(SEU) S/W School	1
		External Content		Generative AI for Developers			In Progress	3/20/2025 11:45	3/20/2025 11:45							3/20/2025 11:45	0	1	0	External Content	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 7:13	4/8/2025 7:13						5/15/2025 13:17	5/15/2025 13:17	115	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/2/2025 0:04	2/2/2025 0:04							2/2/2025 0:04	0	4	0	(SEU) S/W School	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 7:27	4/8/2025 7:27						4/22/2025 13:08	4/22/2025 13:08	11	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/1/2025 22:01	2/1/2025 22:01							2/1/2025 22:01	0	4	0	(SEU) S/W School	1
	 [Software R&D], [Software R&D] Artificial intelligence, Expertise	Online Content		AI Agents: Building Teams of LLM Agents that Work For You			In Progress	3/13/2025 16:47									122	9.27	0	(Udemy) ???	
	 [Software R&D], [Software R&D] Artificial intelligence, Expertise	Online Content		Complete Agentic AI Bootcamp With LangGraph and Langchain			In Progress	6/2/2025 21:37									5	30.9	0	(Udemy) ???	
	 [Software R&D], [Software R&D] Application development, Expertise	Online Content		Complete Flutter Guide 2025: Build Android, iOS and Web apps			In Progress	3/8/2025 23:22									1	24.45	0	(Udemy) ???	
	 [Design], [Design] UX Design, Expertise	Online Content		Figma for Mobile App Design: Ultimate Edition			In Progress	3/9/2025 21:37									1	9.62	0	(Udemy) ???	
	 [Software R&D], [Software R&D] Artificial intelligence, Expertise	Online Content		Google NotebookLM: Complete Beginners Guide			Completed	6/1/2025 22:52							6/1/2025 20:52	6/1/2025 20:52	38	0.62	0	(Udemy) ???	
	 [Software R&D], [Software R&D] Artificial intelligence, Expertise	Online Content		Mastering AutoGen: Building Multi-Agent Systems [NEW]			In Progress	3/7/2025 21:41									77	3.47	0	(Udemy) ???	
	 [Software Tools], Expertise	Online Content		MCP Crash Course: Complete Model Context Protocol in a Day			In Progress	4/30/2025 12:53									44	5.28	0	(Udemy) ???	
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 6:58	4/8/2025 6:58						5/15/2025 13:06	5/15/2025 13:06	178	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/1/2025 22:01	2/1/2025 22:01							2/1/2025 22:01	0	4	0	(SEU) S/W School	1
		Online Class		[SIELS] 2024 Understanding of Compliance And Data Protection			Completed	1/22/2025 14:24	1/22/2025 14:24						1/22/2025 20:25	1/22/2025 20:25	178	0.43	0	[SIEL-S]Legal & Compliance	1
	 [Software R&D], [Software R&D] Artificial intelligence, Expertise	Online Class		Artificial Intelligence Foundations: Machine Learning			In Progress	2/19/2025 13:26	2/19/2025 13:26							2/19/2025 13:26	0	1.83	0	(LinkedIn Learning) ???? ??	
	 [Leadership Competency], [Leadership] Change management, Leadership	Online Class		Leadership Skills for The Future			Completed	4/9/2025 16:08	4/9/2025 16:08						4/10/2025 11:05	4/10/2025 11:05	0	0.9	0	(LinkedIn Learning) ???? ??	
	 [Functional Competency], [Functional Competency] Presentation skill, Expertise	Online Class		Presenting Data Effectively to Inform and Inspire			Completed	4/15/2025 10:24	4/15/2025 10:24						4/15/2025 15:23	4/15/2025 15:23	0	1.62	0	(LinkedIn Learning) ???? ??	
	 [Marketing], [Marketing] Product marketing, Expertise	Online Class		Problem-Solving Techniques			Completed	4/11/2025 15:37	4/11/2025 15:37						4/15/2025 10:19	4/15/2025 10:19	0	1.23	0	(LinkedIn Learning) ???? ??	
	 [Functional Competency], [Functional Competency] Communication, Expertise	Online Content		Professional Email Writing in English: Complete Training			Completed	4/24/2025 15:05	4/24/2025 15:05						4/25/2025 12:56	4/25/2025 12:56	186	2.9	0	(Udemy) ???	
	 [Software Tools], [Software Tools] Python, Expertise	Online Class		Python GUI Development with Tkinter			Completed	4/15/2025 10:26	4/15/2025 10:26						4/16/2025 12:53	4/16/2025 12:53	0	4.93	0	(LinkedIn Learning) ???? ??	
	 [Software R&D], [Software R&D] Software management, Expertise	Online Class		Robot Framework Test Automation: Level 1 (Selenium)			Completed	4/10/2025 11:42	4/10/2025 11:42						4/11/2025 15:28	4/11/2025 15:28	0	8.3	0	(LinkedIn Learning) ???? ??	
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 6:58	4/8/2025 6:58						5/14/2025 9:54	5/14/2025 9:54	30	0.25	0	(SEU) Sales&Marketing School	1
	 [Functional Competency], [Functional Competency] Time management, Expertise	Online Content		Time and Task Management: Time Management Techniques			In Progress	4/28/2025 9:35	4/28/2025 9:35							4/28/2025 9:35	116	2.02	0	(Udemy) ???	
	 Expertise	Session		Udemy License Request (2025-2026)	License Request	The UniverSE, Gyeonggi-do, Korea	Registered	2/18/2025 11:48	2/18/2025 11:48		??? ???? ?? (2024-2025)	3/31/2026 17:00	3/31/2026 17:30	KST		2/18/2025 11:48	0	0.02	0	(SEU) L&D Strategy	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/1/2025 22:00	2/1/2025 22:00							2/1/2025 22:00	0	4	0	(SEU) S/W School	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 6:58	4/8/2025 6:58						4/23/2025 10:50	4/23/2025 10:50	29	0.25	0	(SEU) Sales&Marketing School	1
	 [Manufacturing], Expertise	Curriculum		SCM Basic			In Progress	4/4/2025 15:44	4/4/2025 15:44							4/4/2025 15:44	0	4.43	0	(SEU) Production School	47
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 6:58	4/8/2025 6:58						5/28/2025 10:06	5/28/2025 10:06	17	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/1/2025 23:16	2/1/2025 23:16							2/1/2025 23:16	0	4	0	(SEU) S/W School	1
	 Expertise	Event		Business Trainings_SRID			Completed		5/23/2025 12:30						2/24/2025 17:00	5/23/2025 12:30	0	0	0	[SRI-Delhi]HR	
	 Expertise	Session		Business Trainings_SRID		SRI-D, Plot 2A ,Sec-126 Noida-201303, India	Completed	5/13/2025 12:26	5/13/2025 12:26		CPT_Trainings_Q1_2025	2/12/2025 14:00	2/12/2025 15:30	IST	2/12/2025 15:30	5/13/2025 12:26	90	1.5	0	[SRI-Delhi]HR	1
	 Expertise	Session		Business Trainings_SRID		SRI-D, Plot 2A ,Sec-126 Noida-201303, India	Completed	5/23/2025 12:30	5/23/2025 12:30		Behavioural Training | Creativity & Innovation | Design Thinking Awareness	2/24/2025 15:00	2/24/2025 17:00	IST	2/24/2025 17:00	5/23/2025 12:30	120	2	0	[SRI-Delhi]HR	1
	 [Software R&D], [Software R&D] Server software, Expertise	Online Content		GCP Associate Cloud Engineer - Google Cloud Certification			Completed	2/20/2025 9:41							5/21/2025 13:19	5/21/2025 13:19	1165	18.05	0	(Udemy) ???	
	 [Software R&D], [Software R&D] Server software, Expertise	Online Content		Mastering Multicloud and Hybrid Cloud: Strategy & Execution			In Progress	2/24/2025 21:40									0	4.15	0	(Udemy) ???	
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 7:14	4/8/2025 7:14						5/30/2025 12:08	5/30/2025 12:08	136	0.25	0	(SEU) Sales&Marketing School	1
	 [Software R&D], [Software R&D] Server software, Expertise	Online Content		The Cloud Strategy Master Class			In Progress	5/21/2025 13:45									2	5.68	0	(Udemy) ???	
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/1/2025 22:01	2/1/2025 22:01							2/1/2025 22:01	0	4	0	(SEU) S/W School	1
		Online Class		Samsung Brand Strategy			Completed	3/26/2025 7:16	3/26/2025 7:16						5/26/2025 11:07	5/26/2025 11:07	16	0.25	0	(SEU) Sales&Marketing School	1
	 [Marketing], [Sales], Core, Expertise	Curriculum		Samsung Essential for Marketing ? Sales			In Progress	4/3/2025 14:53	4/3/2025 14:53							4/3/2025 14:53	0	5	0	(SEU) Sales&Marketing School	5
	 [Marketing], [Sales], Expertise	Online Class		TIM overview			Registered	3/13/2025 14:25	3/13/2025 14:25							3/13/2025 14:25	0	0.08	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/1/2025 22:01	2/1/2025 22:01							2/1/2025 22:01	0	4	0	(SEU) S/W School	1
	 [Functional Competency], [Functional Competency] Task management, Expertise	Online Content		Product Management Crash Course; IT Product Management			In Progress	1/22/2025 11:16	1/22/2025 11:16							1/22/2025 11:16	10	2.58	0	(Udemy) ???	
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 6:58	4/8/2025 6:58						4/22/2025 12:46	4/22/2025 12:46	12	0.25	0	(SEU) Sales&Marketing School	1
	 [Succession], Expertise, Leadership	Event		2022? ??? ????? Pre-Session			Completed		4/3/2025 13:07						3/20/2022 13:30	4/3/2025 13:07	0	0	0	Samsung CIC	
		Online Class		Samsung Brand Strategy			Completed	5/29/2025 10:49	5/29/2025 10:49						5/29/2025 11:22	5/29/2025 11:22	33	0.25	0	(SEU) Sales&Marketing School	1
		Online Class		Samsung Brand Strategy			Completed	6/2/2025 11:47	6/2/2025 11:47						6/2/2025 12:00	6/2/2025 12:00	12	0.25	0	(SEU) Sales&Marketing School	1
	 [Leadership Competency], Expertise, Leadership	Event		[????] SVP CLPC 5?			Completed		4/3/2025 12:39						12/31/2021 13:30	4/3/2025 12:39	0	0	0	Samsung CIC	
		Online Class		Samsung Brand Strategy			Completed	6/5/2025 17:44	6/5/2025 17:44						6/5/2025 17:56	6/5/2025 17:56	12	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			Completed	2/1/2025 23:55	2/1/2025 23:55						6/3/2025 12:41	6/3/2025 12:41	0	4	0	(SEU) S/W School	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 7:24	4/8/2025 7:24						4/15/2025 14:15	4/15/2025 14:15	100	0.25	0	(SEU) Sales&Marketing School	1
	 [Manufacturing], Expertise	Curriculum		SCM Advanced			In Progress	4/4/2025 17:06	4/4/2025 17:06							4/4/2025 17:06	0	13.55	0	(SEU) Production School	70
	 [Manufacturing], Expertise	Curriculum		SCM Basic			In Progress	4/4/2025 16:15	4/4/2025 16:15							4/4/2025 16:15	0	4.43	0	(SEU) Production School	47
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/1/2025 21:53	2/1/2025 21:53							2/1/2025 21:53	0	4	0	(SEU) S/W School	1
	 Expertise	Event		Business Trainings_SRID			Completed		6/9/2025 17:28						2/13/2025 17:00	6/9/2025 17:28	0	0	0	[SRI-Delhi]HR	
	 Expertise	Session		Business Trainings_SRID		SRI-D, Plot 2A ,Sec-126 Noida-201303, India	Completed	6/9/2025 17:28	6/9/2025 17:28		TLC_13 FEB 2025	2/13/2025 15:00	2/13/2025 17:00	IST	2/13/2025 17:00	6/9/2025 17:28	120	2	0	[SRI-Delhi]HR	1
		External Content		ChatGPT Prompt Engineering for Developers			Completed	3/5/2025 9:21	3/5/2025 9:21						5/15/2025 10:05	5/15/2025 10:05	0	1	0	External Content	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 6:57	4/8/2025 6:57						5/15/2025 10:03	5/15/2025 10:03	21	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			Completed	2/1/2025 22:35	2/1/2025 22:35						6/9/2025 11:51	6/9/2025 11:51	0	4	0	(SEU) S/W School	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 7:05	4/8/2025 7:05						5/15/2025 11:12	5/15/2025 11:12	22	0.25	0	(SEU) Sales&Marketing School	1
	 [Software R&D], Expertise	Online Class		Software Architecture Foundations			In Progress	2/5/2025 10:26	2/5/2025 10:26							2/5/2025 10:26	0	1.6	0	(LinkedIn Learning) ???? ??	
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/1/2025 23:49	2/1/2025 23:49							2/1/2025 23:49	0	4	0	(SEU) S/W School	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 7:23	4/8/2025 7:23						5/28/2025 18:41	5/28/2025 18:41	14	0.25	0	(SEU) Sales&Marketing School	1
	 [Manufacturing], Expertise	Curriculum		SCM Basic			In Progress	4/4/2025 16:13	4/4/2025 16:13							4/4/2025 16:13	0	4.43	0	(SEU) Production School	47
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 6:57	4/8/2025 6:57						5/29/2025 12:26	5/29/2025 12:26	14	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/1/2025 22:36	2/1/2025 22:36							2/1/2025 22:36	0	4	0	(SEU) S/W School	1
	 [Functional Competency], [Functional Competency] Time management, Expertise	Online Content		A Mini Course on Time Management			Completed	3/12/2025 16:17							3/12/2025 16:17	3/12/2025 16:17	6	0.62	0	(Udemy) ???	
	 [Leadership Competency], [Leadership] Change management, Leadership	Online Content		Generative AI for Leaders: Strategy & Innovation			Completed	1/22/2025 12:33							1/22/2025 12:21	1/22/2025 12:21	6	19.47	0	(Udemy) ???	
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 7:05	4/8/2025 7:05						5/20/2025 17:21	5/20/2025 17:21	39	0.25	0	(SEU) Sales&Marketing School	1
	 [Functional Competency], [Functional Competency] Machine Learning, Expertise	Online Content		The Complete Neural Networks Bootcamp: Theory, Applications			In Progress	3/25/2025 10:43									171	43.78	0	(Udemy) ???	
	 [Software Tools], [Software Tools] Python, Expertise	Online Content		The Complete Python Bootcamp From Zero to Hero in Python			In Progress	3/17/2025 12:27									246	22.23	0	(Udemy) ???	
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/1/2025 23:05	2/1/2025 23:05							2/1/2025 23:05	0	4	0	(SEU) S/W School	1
	 Expertise	Event		Business Trainings_SRID			Completed		5/23/2025 14:49						3/26/2025 16:00	5/23/2025 14:49	0	0	0	[SRI-Delhi]HR	
	 Expertise	Session		Business Trainings_SRID		SRI-D, Plot 2A ,Sec-126 Noida-201303, India	Completed	5/23/2025 14:49	5/23/2025 14:49		Budget Approval Training	3/26/2025 15:00	3/26/2025 16:00	IST	3/26/2025 16:00	5/23/2025 14:49	60	1	0	[SRI-Delhi]HR	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 7:12	4/8/2025 7:12						5/28/2025 17:21	5/28/2025 17:21	77	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			Completed	2/1/2025 21:52	2/1/2025 21:52						6/3/2025 14:26	6/3/2025 14:26	0	4	0	(SEU) S/W School	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 6:56	4/8/2025 6:56						5/15/2025 8:59	5/15/2025 8:59	14	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			Completed	2/1/2025 22:36	2/1/2025 22:36						6/3/2025 18:05	6/3/2025 18:05	0	4	0	(SEU) S/W School	1
	 [Software R&D], [Software R&D] Artificial intelligence, Expertise	Online Content		Become a Generative AI Trailblazer in Just 30 Minutes			In Progress	1/7/2025 4:48									6	0.5	0	(Udemy) ???	
